row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.38889,2.77778,4.33333,5.2,4.33333,4.95
1,11,2.71598,2.89941,4.15385,4.33333,4.15385,4.15385
2,20,2.92355,2.80372,4.18182,4.52381,4.18182,4.40455
3,32,3.03806,2.78547,4.47059,3.66667,4.47059,3.58824
4,44,3.19707,2.6725,4.3913,3.68889,4.3913,3.65217
5,58,3.29472,2.60528,4.3,3.32203,4.3,3.3
6,74,3.36305,2.558,4.23684,3.34667,4.23684,3.32895
7,90,3.34086,2.56132,4.30435,3.76923,4.30435,3.68152
8,108,3.33281,2.58537,4.40909,3.56881,4.40909,3.54545
9,126,3.35095,2.57874,4.49219,3.62205,4.49219,3.61953
10,145,3.35805,2.58073,4.48299,3.77397,4.48299,3.7449
11,166,3.37727,2.56916,4.54762,4,4.54762,3.98214
12,187,3.37253,2.57985,4.59788,3.7766,4.59788,3.7619
