row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,3,5,5.16667,8.4,5,7.3
1,11,3.02959,4.97041,4.61538,6.66667,4.61538,6.54615
2,20,3.10537,4.98554,4.22727,6.2381,4.27273,6.13182
3,32,2.92993,5.01125,3.79412,5.81818,3.84706,5.95294
4,44,2.7741,5.1172,3.52174,5.88889,3.49783,6.09783
5,58,2.60806,5.17528,3.21667,5.77966,3.18333,5.975
6,74,2.47334,5.23719,2.98684,5.88,2.96447,5.88158
7,90,2.54005,5.27517,3.04348,5.75824,3.05978,5.72717
8,108,2.56397,5.2724,3.02727,5.79817,3.01364,5.74909
9,126,2.56488,5.27887,3.03906,5.59843,2.99063,5.60859
10,145,2.61761,5.27354,3.01361,5.58219,2.98503,5.54218
11,166,2.64601,5.25875,2.95833,5.41317,2.96488,5.39286
12,187,2.63081,5.26337,2.91534,5.57979,2.90265,5.53069
13,209,2.6523,5.26239,2.99052,5.52381,2.96351,5.34929
14,232,2.63852,5.25891,2.97009,5.56652,2.95299,5.55171
15,256,2.63255,5.2628,2.91473,5.68872,2.89767,5.46822
16,280,2.62703,5.26304,2.87234,5.76512,2.86418,5.55567
17,305,2.63552,5.26025,2.96743,5.39869,2.96319,5.36287
18,331,2.63896,5.25893,2.9039,5.75904,2.90691,5.50601
19,357,2.61903,5.26398,2.83565,5.3743,2.8507,5.45348
20,384,2.61989,5.26094,2.86528,5.32987,2.86451,5.46503
21,412,2.62959,5.2593,2.87681,5.6247,2.86014,5.38792
22,441,2.64352,5.25942,2.91874,5.29864,2.88172,5.55034
23,470,2.64385,5.25445,2.87076,5.4034,2.89216,5.27436
24,500,2.62435,5.25613,2.82072,5.41317,2.80339,5.46434
25,530,2.61469,5.25561,2.84023,5.72693,2.83515,5.34474
26,561,2.6178,5.25608,2.79929,5.28826,2.77371,5.40533
27,592,2.6163,5.25743,2.82323,5.51602,2.767,5.43687
28,624,2.6059,5.25832,2.7476,5.3792,2.75256,5.37141
29,657,2.59771,5.25965,2.7739,5.46809,2.73718,5.33839
30,690,2.58032,5.26361,2.71243,5.29378,2.75303,5.50838
31,724,2.56515,5.26267,2.80441,5.29793,2.75978,5.35331
32,758,2.55567,5.26144,2.76974,5.30303,2.74605,5.35816
33,793,2.56154,5.2611,2.74591,5.35768,2.71635,5.41535
34,828,2.56897,5.25874,2.73614,5.41496,2.7553,6.03578
35,864,2.56623,5.2571,2.77598,5.2289,2.76628,5.31559
36,900,2.55918,5.25457,2.73282,5.52275,2.73193,5.51718
37,936,2.54678,5.25812,2.71215,5.3682,2.69126,5.30448
38,974,2.53798,5.2612,2.6998,5.23692,2.71773,5.33186
39,1011,2.53169,5.26396,2.64561,5.69368,2.66851,5.39378
40,1050,2.52487,5.26411,2.69677,5.29781,2.64582,5.36416
41,1088,2.50972,5.26642,2.65046,6.10927,2.66514,5.26651
42,1127,2.49611,5.26562,2.65722,5.3617,2.6395,5.2721
43,1167,2.48971,5.26478,2.63216,5.31164,2.6621,5.45663
44,1207,2.48257,5.26516,2.62035,5.65232,2.61778,5.39396
45,1247,2.4814,5.2648,2.60929,5.35337,2.61569,5.40921
46,1288,2.47742,5.26522,2.61628,5.26222,2.59845,5.33388
47,1330,2.47696,5.26553,2.61411,5.32081,2.60991,5.26321
48,1372,2.48386,5.26578,2.64192,5.32702,2.60721,5.29119
49,1414,2.49534,5.26454,2.61158,5.31378,2.62655,5.40155
50,1456,2.50018,5.26388,2.59259,5.33631,2.62366,5.72181
51,1499,2.50677,5.26471,2.64823,5.332,2.63404,5.34843
52,1543,2.50485,5.26538,2.61683,5.35363,2.61398,5.24958
53,1587,2.50398,5.26443,2.64191,5.66562,2.6287,5.27766
54,1631,2.49765,5.26353,2.66442,5.28983,2.62247,5.3526
55,1676,2.49434,5.2643,2.60846,5.35242,2.59499,5.27551
56,1721,2.49708,5.26438,2.63146,5.39605,2.60836,5.38659
57,1766,2.49453,5.26566,2.58541,5.25637,2.6009,5.33784
58,1812,2.48792,5.26566,2.58214,5.55488,2.59774,5.42872
59,1859,2.48763,5.26519,2.57335,5.52151,2.5726,5.29737
