row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.666667,1.83333,1.33333,2.8,1.33333,2.73333
1,11,0.763314,2.00592,1.15385,2.58333,1.15385,2.48462
2,20,0.81405,2.04959,1.09091,2.47619,1.09091,2.37273
3,32,0.843426,2.06834,1.05882,2.27273,1.03235,2.29412
4,44,0.864839,2.06994,1.04348,2.22222,1.02826,2.21957
5,58,0.891944,2.05806,1.03333,2.16949,1.03333,2.17833
6,74,0.904952,2.05557,1,2.06667,1.02632,2.15263
7,90,0.911153,2.05624,1.01087,2.12088,0.998913,2.11848
8,108,0.912975,2.05975,0.954545,2.13761,0.961818,2.15818
9,126,0.918396,2.05817,0.953125,2.11811,0.996875,2.09063
10,145,0.909852,2.05613,1.0068,2.13699,0.995918,2.12993
11,166,0.914116,2.05017,1.00595,2.10778,1.00595,2.11786
12,187,0.916828,2.04084,1.00529,2.09043,0.999471,2.08201
13,209,0.923879,2.03821,1,2.08571,0.998578,2.08389
14,232,0.930364,2.03545,1,2.11159,0.996581,2.07906
15,256,0.935446,2.03355,1,2.07393,0.998062,2.08256
16,280,0.940031,2.0316,1.00355,2.09964,1,2.05426
17,305,0.940403,2.03028,0.996743,2.08497,0.99544,2.09153
18,331,0.944169,2.0288,1,2.07831,0.995495,2.07808
19,357,0.947572,2.02736,0.997214,2.05587,0.9961,2.05153
20,384,0.94814,2.02595,0.997409,2.06753,0.992228,2.05518
21,412,0.950909,2.02494,0.995169,2.06538,0.995652,2.05797
22,441,0.950084,2.02283,0.995485,2.04299,0.990971,2.04334
23,470,0.950751,2.02171,0.991525,2.04246,0.989407,2.04131
24,500,0.949826,2.02029,0.988048,2.03593,0.985259,2.03486
25,530,0.9524,2.0194,0.988722,2.0339,0.985902,2.03102
26,561,0.953141,2.01844,0.987567,2.03203,0.983481,2.04636
27,592,0.952757,2.01694,0.986532,2.03541,0.984343,2.03721
28,624,0.95247,2.01558,0.982428,2.0352,0.980032,2.03355
29,657,0.954546,2.01511,0.983308,2.03191,0.982246,2.03945
30,690,0.95647,2.01463,0.985549,2.03184,0.982659,2.03757
31,724,0.958302,2.01415,0.983471,2.03586,0.983609,2.02741
32,758,0.956761,2.01298,0.980263,2.02503,0.980658,2.02382
33,793,0.95776,2.01205,0.981132,2.02645,0.979748,2.03145
34,828,0.959355,2.01173,0.984337,2.02654,0.98,2.03084
35,864,0.958342,2.01048,0.981524,2.01734,0.977252,2.02806
36,900,0.95882,2.01014,0.978936,2.02553,0.978603,2.02905
37,936,0.960258,2.00989,0.984009,2.02775,0.979104,2.02292
38,974,0.959804,2.00843,0.983607,2.02667,0.977459,2.01885
39,1011,0.960526,2.00788,0.980257,2.02174,0.977887,2.02567
40,1050,0.961009,2.00762,0.980038,2.01618,0.978517,2.01873
41,1088,0.960503,2.00739,0.978899,2.01194,0.976972,2.01807
42,1127,0.96011,2.00712,0.981399,2.02128,0.977148,2.01966
43,1167,0.959635,2.00615,0.974337,1.60445,0.975449,2.02224
44,1207,0.960362,2.00573,0.979322,2.01242,0.976013,2.01828
45,1247,0.960782,2.00559,0.97438,2.01763,0.977182,2.01601
46,1288,0.961929,2.00551,0.979845,2.01629,0.975581,2.01744
47,1330,0.96227,2.00545,0.973724,2.01803,0.976351,2.0247
48,1372,0.962642,2.00534,0.975983,2.02039,0.975837,2.01594
49,1414,0.961656,2.00515,0.97387,2.01837,0.974011,2.01532
50,1456,0.962267,2.00481,0.979424,2.01304,0.973457,2.01783
51,1499,0.962178,2.00451,0.974684,2.02,0.973684,2.01779
52,1543,0.961513,2.00418,0.971521,2.01749,0.973528,2.01618
53,1587,0.961745,2.00364,0.973568,2.03967,0.972121,2.01699
54,1631,0.962682,2.00364,0.969994,2.01593,0.972566,2.01506
55,1676,0.963608,2.00361,0.979738,2.0161,0.973302,2.01597
56,1721,0.964494,2.00359,0.976785,2.01336,0.975044,2.01405
57,1766,0.964242,2.00352,0.976244,2.01471,0.972624,2.01239
58,1812,0.964537,2.00349,0.975744,2.0011,0.97409,2.01279
59,1859,0.964827,2.00347,0.975282,2.01344,0.973724,2.01225
60,1905,0.965279,2.00326,0.976927,2.00735,0.973991,2.01148
61,1952,0.965781,2.003,0.979529,2.01126,0.97216,2.01305
62,2000,0.966552,2.00298,0.976523,2.01249,0.976224,2.01294
63,2048,0.966986,2.00277,0.976585,2.01171,0.973756,2.01268
64,2096,0.967685,2.00276,0.978551,2.02146,0.974214,2.01249
65,2144,0.968042,2.0026,0.976235,2.01212,0.972647,2.0123
66,2193,0.967334,2.0026,0.975399,2.01231,0.97467,2.01071
