row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.58333,2.41667,4.83333,5.4,4.83333,4.81667
1,11,2.98817,2.39645,4.15385,3.83333,4.23077,3.67692
2,20,2.92149,2.39669,4.09091,3.47619,4.13636,3.58182
3,32,3.09862,2.25433,3.97059,3.0303,4.02941,3.21765
4,44,3.18147,2.20983,3.86957,2.68889,3.86957,2.71304
5,58,3.26611,2.20056,3.76667,3.23729,3.78333,3.23833
6,74,3.27822,2.18231,3.78947,2.56,3.79211,2.83026
7,90,3.2819,2.19636,3.68478,2.7033,3.66739,2.45543
8,108,3.24678,2.18959,3.6,2.42202,3.57091,2.57
9,126,3.19025,2.20819,3.46094,2.40945,3.48281,2.53281
10,145,3.16276,2.2182,3.44898,2.34932,3.44422,2.4517
11,166,3.13591,2.22123,3.39286,2.47904,3.38274,2.60238
12,187,3.10274,2.23059,3.32275,2.40957,3.32275,2.42593
13,209,3.07731,2.23548,3.34123,2.34286,3.34692,2.39668
14,232,3.05559,2.23928,3.28632,2.48069,3.24744,2.70641
15,256,3.04301,2.24769,3.24806,2.35019,3.23217,2.77752
16,280,3.04693,2.2474,3.17021,3.15658,3.22199,2.52447
17,305,3.04506,2.25136,3.18241,2.31046,3.1873,3.13681
18,331,3.0322,2.25308,3.15616,2.23795,3.15976,2.28258
19,357,3.02999,2.24856,3.21448,2.28212,3.20251,2.27382
20,384,3.02613,2.24848,3.14249,3.15844,3.15155,2.91347
21,412,3.02206,2.2533,3.12802,2.20097,3.1186,2.21957
22,441,3.02767,2.24998,3.15801,2.24661,3.1386,2.2456
23,470,3.01049,2.25645,3.12076,2.29936,3.12352,2.28919
24,500,3.01623,2.26066,3.10359,3.13772,3.10697,2.71514
25,530,3.00021,2.26295,3.09398,2.25424,3.10376,2.28402
26,561,3.00223,2.26064,3.14387,2.17972,3.14281,3.04565
27,592,3.00836,2.261,3.08923,2.2344,3.11498,2.22912
28,624,3.00323,2.26514,3.0655,2.1824,3.09696,2.48259
29,657,2.99632,2.26469,3.03945,2.23252,3.05675,2.19772
30,690,2.9869,2.26454,3,2.1809,3.06503,2.23844
31,724,2.97949,2.26431,3.04545,2.29103,3.06501,2.35826
32,758,2.97663,2.26284,3.09342,2.96838,3.0875,2.53947
33,793,2.98025,2.26629,3.01258,2.14484,3.03962,2.33409
34,828,2.97383,2.26472,3.07108,2.17853,3.0159,2.8541
35,864,2.96926,2.26399,3.06813,2.18728,3.02887,2.21028
36,900,2.96766,2.26405,2.98891,3.0566,3.03392,2.43204
37,936,2.95391,2.26464,2.98934,2.18143,3.00864,2.2242
38,974,2.94546,2.26663,2.99283,2.38462,3.01793,2.37049
39,1011,2.93859,2.26772,3.00395,2.167,2.98638,3.07868
40,1050,2.94088,2.26824,3.02662,2.52236,3.01416,2.25352
41,1088,2.94591,2.26785,3.02385,2.27273,3.0289,3.10486
42,1127,2.93557,2.26993,2.97166,2.29167,2.9713,2.49353
43,1167,2.93909,2.27049,3.02823,2.23459,3.0047,2.24748
44,1207,2.94397,2.27026,3.03888,2.59603,3.03077,2.22283
45,1247,2.95118,2.26899,3.04404,2.18349,3.03195,3.08086
46,1288,2.94905,2.26955,3.06279,2.30411,3.03279,2.59
47,1330,2.94642,2.2713,2.96171,2.3982,3.02252,2.57462
48,1372,2.9461,2.27151,2.97962,2.24982,3.00306,2.1663
49,1414,2.94839,2.27124,2.98729,2.3159,2.98242,2.1916
50,1456,2.94523,2.27151,2.97325,2.16884,2.99108,2.18422
51,1499,2.94937,2.27049,3.01532,2.144,3.03464,2.37682
52,1543,2.95302,2.27028,3.06602,2.70466,3.03346,2.58699
53,1587,2.95239,2.27039,2.96287,2.2966,2.99572,2.21869
54,1631,2.94894,2.27212,3.00306,2.20404,3.00802,2.3831
55,1676,2.94183,2.27271,2.98451,2.54562,3.00995,2.14672
56,1721,2.94266,2.27324,2.97795,2.1626,3.0108,2.6007
57,1766,2.94497,2.27335,2.99152,2.62309,2.99943,2.17523
58,1812,2.94289,2.2721,3.00331,2.15499,3.00209,2.33241
59,1859,2.94193,2.2714,2.9914,2.13495,3.00956,2.73912
60,1905,2.9466,2.26997,3.00524,2.12907,3.00933,2.69958
61,1952,2.94068,2.27324,3.00563,2.14132,2.97144,2.65225
62,2000,2.93855,2.27224,2.97103,2.1979,2.99026,2.22203
63,2048,2.9355,2.27035,2.99659,2.27379,2.96873,2.31346
64,2096,2.93492,2.27004,2.96902,2.19552,2.98232,2.61173
65,2144,2.92915,2.27076,2.9287,2.18228,2.9753,2.72637
66,2193,2.92932,2.27159,3.01595,2.19189,3.0072,2.62433
67,2242,2.92601,2.27141,2.96747,3.07222,3.00379,2.44973
68,2292,2.9254,2.27076,2.99303,2.59398,2.9898,2.21709
69,2342,2.92793,2.27002,2.9872,2.12377,2.98712,2.4654
70,2393,2.92255,2.27119,2.9428,2.2452,2.96551,2.56038
71,2443,2.91996,2.27145,2.97628,2.61334,2.94282,3.06348
72,2494,2.91847,2.27143,2.94191,2.14509,2.94247,2.17232
73,2546,2.91474,2.27247,2.94898,3.06557,2.94294,3.04372
74,2598,2.91179,2.27244,3.00808,2.12851,2.97458,2.1405
75,2650,2.91067,2.27108,2.98416,2.13391,2.98778,2.27662
76,2702,2.90776,2.2716,2.94933,2.14095,2.9655,3.0378
77,2755,2.90514,2.27187,2.95575,2.12192,2.95865,2.22651
