row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.861111,0.138889,1,0.2,1,0.166667
1,11,0.893491,0.106509,1,0.166667,1,0.153846
2,20,0.917355,0.0826446,1,0.0952381,1,0.136364
3,32,0.935986,0.0640138,1,0.0909091,1,0.0882353
4,44,0.94896,0.0510397,1,0.0666667,1,0.0869565
5,58,0.956389,0.0436111,1,0.0677966,1,0.0666667
6,74,0.963123,0.0368767,1,0.04,1,0.0526316
7,90,0.968573,0.0314272,1,0.032967,1,0.0543478
8,108,0.972066,0.0279339,1,0.0366972,1,0.0363636
9,126,0.975098,0.0249023,1,0.023622,1,0.0546875
10,145,0.977694,0.0223055,1,0.0273973,1,0.0272109
11,166,0.980052,0.0199476,1,0.0419162,1,0.0297619
12,187,0.981831,0.0181686,1,0.0212766,1,0.042328
13,209,0.983289,0.0167112,1,0.0190476,1,0.0236967
14,232,0.984184,0.0158156,1,0.0171674,1,0.0260684
15,256,0.984917,0.0150832,1,0.0233463,1,0.0232558
16,280,0.985652,0.0143479,1,0.0213523,1,0.0248227
17,305,0.986281,0.013719,1,0.0228758,1,0.0228013
18,331,0.987014,0.012986,1,0.0180723,1,0.021021
19,357,0.98764,0.0123602,1,0.0139665,1,0.0167131
20,384,0.988201,0.011799,1,0.0103896,1,0.0181347
21,412,0.988716,0.0112838,1,0.0121065,1,0.0169082
22,441,0.989228,0.010772,1,0.0135747,1,0.020316
23,470,0.989658,0.0103419,1,0.0127389,1,0.0190678
24,500,0.990115,0.00988476,1,0.00998004,1,0.0139442
25,530,0.990492,0.00950803,1,0.0112994,1,0.0150376
26,561,0.990908,0.00909237,1,0.0088968,1,0.0159858
27,592,0.991197,0.00880296,1,0.0118044,1,0.016835
28,624,0.991472,0.00852821,1,0.016,1,0.0140575
29,657,0.991791,0.00820897,1,0.00759878,1,0.0106222
30,690,0.992081,0.00791874,1,0.00723589,1,0.0130058
31,724,0.992364,0.00763647,1,0.0110345,1,0.0151515
32,758,0.992635,0.00736496,1,0.00790514,1,0.00789474
33,793,0.992875,0.00712472,1,0.00881612,1,0.00880503
34,828,0.993103,0.0068965,1,0.00844391,1,0.00843373
35,864,0.993308,0.00669239,1,0.00809249,1,0.0115473
36,900,0.993514,0.00648596,1,0.0099889,1,0.0110865
37,936,0.993708,0.00629202,1,0.00747065,1,0.00767591
38,974,0.993901,0.00609925,1,0.00615385,1,0.00819672
39,1011,0.994071,0.00592885,1,0.00889328,1,0.00987167
40,1050,0.994248,0.00575222,1,0.00666032,1,0.00855513
41,1088,0.994405,0.00559465,1,0.00642792,1,0.00825688
42,1127,0.994543,0.00545722,1,0.0070922,1,0.0088574
43,1167,0.994681,0.00531919,1,0.00599315,1,0.00769889
44,1207,0.994812,0.00518786,1,0.00496689,1,0.00661704
45,1247,0.99494,0.00506025,1,0.00801282,1,0.00800641
46,1288,0.99508,0.00491978,1,0.00620636,1,0.00852713
47,1330,0.995201,0.00479872,1,0.00751315,1,0.00675676
48,1372,0.99532,0.00467986,1,0.00509832,1,0.00873362
49,1414,0.995425,0.00457493,1,0.00636042,1,0.00776836
50,1456,0.995537,0.00446334,1,0.00480439,1,0.00548697
51,1499,0.995636,0.00436396,1,0.00466667,1,0.00799467
52,1543,0.995739,0.00426053,1,0.00453368,1,0.00582524
53,1587,0.995835,0.00416528,1,0.00503778,1,0.00566394
54,1631,0.995924,0.00407584,1,0.00612745,1,0.00551133
55,1676,0.996009,0.00399121,1,0.00536673,1,0.00476758
56,1721,0.996092,0.00390773,1,0.00522648,1,0.00580383
57,1766,0.996167,0.00383291,1,0.00396152,1,0.00848416
58,1812,0.996238,0.00376193,1,0.00441258,1,0.00661521
59,1859,0.996309,0.00369097,1,0.00322581,1,0.00537346
60,1905,0.996378,0.00362202,1,0.00524659,1,0.00471945
61,1952,0.996446,0.00355385,1,0.00512033,1,0.00460594
62,2000,0.996512,0.00348827,1,0.005997,1,0.004995
63,2048,0.996579,0.00342082,1,0.00439239,1,0.0035122
64,2096,0.996643,0.00335696,1,0.00381497,1,0.0042898
65,2144,0.9967,0.00330032,1,0.0037296,1,0.00465983
66,2193,0.99676,0.0032395,1,0.00319052,1,0.00501139
67,2242,0.996815,0.00318516,1,0.00401248,1,0.00356506
68,2292,0.996872,0.00312821,1,0.00392499,1,0.00523104
69,2342,0.99692,0.00307972,1,0.00682885,1,0.00426621
70,2393,0.996976,0.00302439,1,0.00292398,1,0.00584551
71,2443,0.997027,0.00297289,1,0.00286416,1,0.00490798
