row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.638889,0.361111,1,0.8,1,0.833333
1,11,0.662722,0.337278,1,0.583333,1,0.576923
2,20,0.704545,0.295455,0.954545,0.52381,0.954545,0.5
3,32,0.738754,0.261246,0.970588,0.393939,0.979412,0.385294
4,44,0.775047,0.224953,0.978261,0.311111,0.952174,0.328261
5,58,0.803889,0.196111,0.966667,0.305085,0.955,0.266667
6,74,0.823407,0.176593,0.986842,0.28,0.951316,0.240789
7,90,0.837429,0.162571,0.956522,0.208791,0.940217,0.227174
8,108,0.846777,0.153223,0.954545,0.256881,0.934545,0.228182
9,126,0.855713,0.144287,0.960938,0.181102,0.939063,0.190625
10,145,0.862465,0.137535,0.952381,0.171233,0.92517,0.191837
11,166,0.867985,0.132015,0.952381,0.149701,0.929762,0.199405
12,187,0.87394,0.12606,0.952381,0.159574,0.906878,0.179894
13,209,0.876261,0.123739,0.914692,0.147619,0.898578,0.150711
14,232,0.875265,0.124735,0.910256,0.244635,0.914957,0.176923
15,256,0.874902,0.125098,0.922481,0.155642,0.891085,0.165116
16,280,0.878075,0.121925,0.907801,0.142349,0.934397,0.153901
17,305,0.881622,0.118378,0.947883,0.147059,0.924104,0.142671
18,331,0.883803,0.116197,0.960961,0.156627,0.91982,0.161261
19,357,0.88546,0.11454,0.922006,0.153631,0.910306,0.144011
20,384,0.8874,0.1126,0.943005,0.145455,0.898964,0.158549
21,412,0.889157,0.110843,0.954106,0.138015,0.907729,0.156039
22,441,0.889885,0.110115,0.936795,0.144796,0.875621,0.146275
23,470,0.889745,0.110255,0.915254,0.131635,0.848517,0.150424
24,500,0.888597,0.111403,0.864542,0.129741,0.835259,0.14243
25,530,0.884702,0.115298,0.834586,0.141243,0.880075,0.13609
26,561,0.882042,0.117958,0.843694,0.163701,0.82611,0.146359
27,592,0.879428,0.120572,0.873737,0.166948,0.805219,0.142593
28,624,0.877459,0.122541,0.829073,0.1392,0.836581,0.139776
29,657,0.876875,0.123125,0.890744,0.144377,0.875873,0.140364
30,690,0.877051,0.122949,0.910405,0.141823,0.868931,0.136416
31,724,0.876788,0.123212,0.913223,0.143448,0.848209,0.13843
32,758,0.876543,0.123457,0.922368,0.13834,0.838684,0.133684
33,793,0.875662,0.124338,0.906918,0.130982,0.854088,0.143019
34,828,0.875645,0.124355,0.913253,0.153197,0.886747,0.128916
35,864,0.876294,0.123706,0.915704,0.132948,0.884758,0.189723
36,900,0.877,0.123,0.881375,0.135405,0.877938,0.144124
37,936,0.87685,0.12315,0.850746,0.133404,0.848827,0.135608
38,974,0.876982,0.123018,0.949795,0.131282,0.853279,0.130738
39,1011,0.877164,0.122836,0.847976,0.145257,0.902369,0.146199
40,1050,0.877546,0.122454,0.943916,0.125595,0.911407,0.137928
41,1088,0.878302,0.121698,0.906422,0.140496,0.88945,0.165963
42,1127,0.87896,0.12104,0.942427,0.131206,0.917892,0.142516
43,1167,0.879715,0.120285,0.937553,0.141267,0.877246,0.13858
44,1207,0.880004,0.119996,0.851117,0.133278,0.857899,0.137634
45,1247,0.880021,0.119979,0.903122,0.125801,0.878783,0.135148
46,1288,0.879847,0.120153,0.88062,0.121024,0.881628,0.121705
47,1330,0.879315,0.120685,0.854354,0.128475,0.875751,0.131532
48,1372,0.879389,0.120611,0.903202,0.1311,0.890684,0.127365
49,1414,0.879555,0.120445,0.89548,0.120848,0.893927,0.149435
50,1456,0.879703,0.120297,0.887517,0.130405,0.860905,0.133745
51,1499,0.879294,0.120706,0.78481,0.121333,0.896736,0.14517
52,1543,0.87892,0.12108,0.869903,0.131477,0.858641,0.126408
53,1587,0.878175,0.121825,0.79421,0.15869,0.858968,0.128508
54,1631,0.877145,0.122855,0.866503,0.129902,0.885058,0.130741
55,1676,0.876414,0.123586,0.904648,0.125224,0.834565,0.130393
56,1721,0.875715,0.124285,0.875218,0.135308,0.879222,0.127684
57,1766,0.875992,0.124008,0.946833,0.124505,0.861482,0.12681
58,1812,0.876201,0.123799,0.848401,0.131826,0.850386,0.162624
59,1859,0.876155,0.123845,0.941967,0.135484,0.883235,0.135142
60,1905,0.876202,0.123798,0.924489,0.124344,0.86602,0.140535
61,1952,0.876176,0.123824,0.871546,0.132616,0.866428,0.136847
62,2000,0.876092,0.123908,0.834665,0.145427,0.848851,0.134466
63,2048,0.876042,0.123958,0.821951,0.134212,0.881024,0.128439
64,2096,0.87602,0.12398,0.909914,0.134478,0.827216,0.147474
65,2144,0.875879,0.124121,0.916123,0.126807,0.832199,0.136952
66,2193,0.875797,0.124203,0.934396,0.166819,0.848656,0.149841
67,2242,0.875239,0.124761,0.881907,0.156933,0.837567,0.151872
68,2292,0.87525,0.12475,0.946382,0.143916,0.851918,0.147167
69,2342,0.874748,0.125252,0.900597,0.127614,0.84808,0.14023
