row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,16,2.74376,4.87528,4.42857,6.7,4.42857,6.6381
1,45,2.7168,5.1232,4.24,6.71429,4.24,6.918
2,83,3.10692,5.10899,5,6.74713,5,6.69318
3,128,3.16462,5.05342,4.69173,7.36364,4.69323,7.5203
4,178,3.20299,5.17952,4.79235,6.98352,4.79563,6.97268
5,235,3.11186,5.33814,4.9625,7.45607,4.9625,7.43333
6,296,3.13392,5.37439,4.78738,7.43333,4.78738,7.43189
7,362,3.17086,5.41225,4.86376,6.96448,4.86376,6.96458
8,432,3.12426,5.36544,4.93135,6.63303,4.93135,6.62471
9,505,3.08202,5.34543,4.87059,7.75835,4.87765,7.74882
10,583,3.14359,5.35981,5.17177,7.03578,5.17177,7.02721
11,665,3.14563,5.33496,4.94627,7.2003,4.94746,7.19881
12,749,3.17948,5.35898,4.75995,7.22444,4.75995,7.22281
13,838,3.19299,5.3942,4.61684,7.1057,4.61684,7.10119
