row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.283951,1.38272,0.666667,2.75,0.666667,2.77778
1,11,0.472656,1.77734,0.875,2.73333,0.875,2.75
2,20,0.5616,1.9584,0.92,2.66667,0.92,2.72
3,32,0.624543,2.05113,0.945946,2.52778,0.945946,2.55405
4,44,0.658892,2.09621,0.959184,2.54167,0.959184,2.54898
5,58,0.687831,2.12169,0.968254,2.45161,0.968254,2.44444
6,74,0.710623,2.13748,1.11392,2.61538,1.11392,2.59494
7,90,0.748255,2.12543,1.26316,2.43617,1.26316,2.42105
8,108,0.802334,2.09147,1.24779,2.375,1.24779,2.37168
9,126,0.836082,2.07232,1.21374,2.34615,1.21374,2.34351
10,145,0.858089,2.06191,1.18667,2.34228,1.18667,2.34
11,166,0.87391,2.05591,1.16374,2.31176,1.16374,2.30994
12,187,0.884901,2.0526,1.14583,2.28796,1.14583,2.28646
13,209,0.894379,2.04955,1.13084,2.25822,1.13084,2.25701
14,232,0.902366,2.047,1.11814,2.24576,1.11814,2.24473
15,256,0.90856,2.04546,1.10728,2.23077,1.10728,2.22989
16,280,0.913081,2.04481,1.09825,2.23944,1.09825,2.2386
17,305,0.915713,2.04558,1.09032,2.22654,1.09032,2.22581
18,331,0.91858,2.04571,1.08333,2.20896,1.08333,2.20833
19,357,0.921523,2.04533,1.07735,2.19391,1.07735,2.19337
20,384,0.9243,2.04485,1.07198,2.18557,1.07198,2.18509
21,412,0.925372,2.04585,1.06715,2.34135,1.06715,2.36115
22,441,0.915844,2.05725,1.06278,2.38652,1.06278,2.38565
23,470,0.907298,2.06744,1.05895,2.36287,1.05895,2.36211
24,500,0.901006,2.07523,1.05545,2.34325,1.05545,2.34257
25,530,0.896599,2.08097,1.05234,2.32397,1.05234,2.32336
26,561,0.893584,2.08521,1.04947,2.30619,1.04947,2.30565
27,592,0.891737,2.08816,1.0469,2.29027,1.0469,2.28978
28,624,0.890744,2.09018,1.04452,2.27548,1.04452,2.27504
29,657,0.890447,2.09143,1.0423,2.26172,1.0423,2.26133
30,690,0.890697,2.09204,1.04029,2.24928,1.04029,2.24892
31,724,0.891378,2.09216,1.03841,2.23764,1.03841,2.23731
32,758,0.892375,2.0919,1.0367,2.22703,1.0367,2.22674
33,793,0.893639,2.09132,1.03509,2.21706,1.03509,2.21679
34,828,0.895075,2.09052,1.03361,2.20793,1.03361,2.20768
35,864,0.896676,2.08951,1.03222,2.19931,1.03222,2.19908
36,900,0.89836,2.08838,1.03094,2.19137,1.03094,2.19116
37,936,0.900093,2.08715,1.02976,2.18404,1.02976,2.18385
38,974,0.901949,2.08579,1.0286,2.17689,1.0286,2.17671
39,1011,0.903763,2.08443,1.02756,2.17044,1.02756,2.17028
40,1050,0.905666,2.08296,1.02654,2.16414,1.02654,2.16398
41,1088,0.907499,2.08152,1.02562,2.15842,1.02562,2.15828
42,1127,0.90935,2.08005,1.02473,2.15296,1.02473,2.15283
43,1167,0.91121,2.07855,1.02389,2.14774,1.02389,2.14761
44,1207,0.913025,2.07707,1.0231,2.14286,1.0231,2.14274
45,1247,0.914794,2.07562,1.02236,2.13829,1.02236,2.13818
46,1288,0.916556,2.07416,1.02166,2.1339,1.02166,2.1338
47,1330,0.918307,2.0727,1.02097,2.12969,1.02097,2.12959
48,1372,0.920002,2.07128,1.02033,2.12573,1.02033,2.12564
49,1414,0.921643,2.0699,1.01973,2.122,1.01973,2.12192
50,1456,0.923147,2.06864,1.01916,2.1226,1.01916,2.12252
