row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.58333,2.41667,4.33333,4.6,4.33333,4.71667
1,11,3.14793,2.39053,4.69231,3.41667,4.69231,3.23077
2,20,3.42355,2.30372,4.81818,3.38095,4.81818,3.55
3,32,3.44637,2.37716,4.55882,3.57576,4.55882,3.52941
4,44,3.30482,2.54301,4.36957,4.26667,4.36957,4.19565
5,58,3.31056,2.57278,4.51667,3.79661,4.51667,3.81167
6,74,3.3331,2.57479,4.71053,3.66667,4.71053,4.00789
7,90,3.41942,2.50449,4.72826,4.0989,4.72826,4.11522
8,108,3.35066,2.5857,4.36364,4.17431,4.36364,4.17273
9,126,3.27264,2.67267,4.15625,4.07087,4.15625,4.0625
10,145,3.21727,2.73511,4.0068,3.93151,4.0068,3.92721
11,166,3.17336,2.78497,3.98214,4.02395,3.98214,4.01786
12,187,3.13594,2.82702,3.97884,3.89894,3.97884,3.88889
13,209,3.1259,2.84093,3.9763,3.7381,3.9763,3.73081
14,232,3.1171,2.85298,3.90598,3.99571,3.90598,3.99231
15,256,3.08043,2.89243,3.90698,4.1323,3.90698,4.12442
16,280,3.05623,2.91894,3.91489,3.97153,3.91489,3.97872
17,305,3.03654,2.9374,3.87948,4.39542,3.87948,4.39088
18,331,2.99394,2.98204,3.81081,4.29217,3.81081,4.28859
19,357,2.96166,3.01605,3.75209,4.31844,3.75209,4.31476
20,384,2.9277,3.05158,3.69948,4.27532,3.69948,4.27202
21,412,2.90035,3.08032,3.65217,4.20823,3.65217,4.20556
22,441,2.87602,3.10592,3.60948,4.30543,3.60948,4.30497
23,470,2.84781,3.13524,3.57203,4.29512,3.57203,4.29237
24,500,2.82464,3.15942,3.53785,4.23553,3.53785,4.23307
25,530,2.80668,3.17828,3.50752,4.17137,3.50752,4.16917
26,561,2.79291,3.19288,3.47957,4.10854,3.47957,4.10657
27,592,2.78269,3.20385,3.45455,4.08263,3.45455,4.08367
28,624,2.76382,3.2234,3.43131,4.5296,3.43131,4.61118
29,657,2.72937,3.25849,3.40971,4.62006,3.40971,4.61882
30,690,2.69917,3.28927,3.39017,4.57453,3.39017,4.57225
31,724,2.67388,3.3151,3.3719,4.50897,3.3719,4.50689
32,758,2.65326,3.33621,3.35526,4.49802,3.35526,4.50447
33,793,2.6333,3.35664,3.33962,4.48741,3.33962,4.48553
34,828,2.61721,3.37315,3.3253,4.43064,3.3253,4.43133
35,864,2.60431,3.38645,3.31178,4.37457,3.31178,4.37298
36,900,2.5946,3.39653,3.29933,4.31964,3.29933,4.32506
37,936,2.58752,3.40395,3.28785,4.26894,3.28785,4.26759
38,974,2.58235,3.40945,3.27664,4.21949,3.27664,4.21824
39,1011,2.57913,3.41297,3.26654,4.17589,3.26654,4.17572
40,1050,2.5773,3.4151,3.25665,4.13321,3.25665,4.13213
41,1088,2.56065,3.43201,3.24679,4.84665,3.24679,4.84495
42,1127,2.53681,3.4561,3.23826,4.8227,3.23826,4.82108
43,1167,2.51345,3.47971,3.23011,4.87586,3.23011,4.87434
44,1207,2.49104,3.50234,3.2225,4.89073,3.2225,4.88974
45,1247,2.47019,3.5234,3.21457,4.89022,3.21537,4.88951
46,1288,2.45126,3.54254,3.20775,4.86036,3.20775,4.86062
47,1330,2.4345,3.55949,3.2012,4.82945,3.2012,4.82815
48,1372,2.41974,3.57444,3.19505,4.85798,3.19505,4.85662
49,1414,2.40562,3.58873,3.18927,4.82332,3.18927,4.82281
50,1456,2.39351,3.60101,3.18381,4.779,3.18381,4.77771
51,1499,2.38339,3.61128,3.17855,4.72867,3.17855,4.72751
52,1543,2.37444,3.62039,3.17346,4.79145,3.17346,4.80427
53,1587,2.36422,3.63074,3.16866,4.78904,3.16866,4.78792
54,1631,2.3555,3.6396,3.16412,4.74755,3.16412,4.74648
55,1676,2.34802,3.64722,3.15971,4.71676,3.15971,4.71573
56,1721,2.34163,3.65372,3.15554,4.69338,3.15554,4.6924
57,1766,2.33655,3.65892,3.15158,4.65648,3.15158,4.65554
