row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,1.92593,2.51852,3.66667,5.25,3.66667,5.04444
1,11,2.30078,2.82422,3.8125,4.66667,3.8125,4.6875
2,20,2.5136,2.9264,3.92,4.83333,3.92,5.248
3,32,2.54273,3.07889,4.18919,4.47222,4.18919,4.37838
4,44,2.82424,2.89005,4.38776,3.60417,4.38776,3.91837
5,58,3.01537,2.76241,4.28571,3.91935,4.28571,3.88889
6,74,3.07996,2.73017,4.26582,4.19231,4.26582,4.16835
7,90,3.11247,2.72964,4.30526,3.96809,4.30526,4
8,108,3.10157,2.76568,4.19469,3.98214,4.19469,3.95752
9,126,3.1416,2.7439,4.32824,3.57692,4.32824,3.55725
10,145,3.22538,2.67462,4.41333,3.24832,4.41333,3.23333
11,166,3.3307,2.58158,4.48538,2.97059,4.48538,2.95906
12,187,3.42071,2.50117,4.51042,3.05759,4.51042,3.05365
13,209,3.45908,2.47083,4.45794,3.30516,4.45794,3.36916
14,232,3.47934,2.45737,4.40928,3.36441,4.40928,3.42954
15,256,3.46677,2.47576,4.33333,3.65769,4.33333,3.65172
16,280,3.44193,2.50544,4.30175,3.73592,4.30175,3.74807
17,305,3.40486,2.54675,4.25161,3.91586,4.25161,3.90742
18,331,3.37706,2.57829,4.30952,3.77313,4.30952,3.76488
19,357,3.37113,2.58744,4.35912,3.58172,4.35912,3.57459
20,384,3.38051,2.58093,4.4036,3.42526,4.4036,3.41928
21,412,3.40116,2.56286,4.44365,3.27644,4.44365,3.27098
22,441,3.40686,2.55951,4.47982,3.54607,4.47982,3.54036
23,470,3.41452,2.55391,4.51158,3.5654,4.51158,3.57558
24,500,3.41179,2.55851,4.54059,3.90079,4.54059,3.90079
25,530,3.40413,2.56784,4.56636,3.86517,4.56636,3.85981
26,561,3.40216,2.57134,4.59011,3.8354,4.59011,3.83039
27,592,3.4034,2.57147,4.61139,3.78356,4.61139,3.77889
28,624,3.39893,2.57723,4.54213,3.93471,4.54213,3.93482
29,657,3.38598,2.59136,4.44864,3.97882,4.44864,3.97734
30,690,3.37536,2.60306,4.48058,3.86311,4.48058,3.85928
31,724,3.37271,2.60672,4.50617,3.74451,4.50617,3.74307
32,758,3.37638,2.60396,4.52818,3.63648,4.52818,3.63303
33,793,3.38537,2.59583,4.54887,3.52447,4.54887,3.5213
34,828,3.39831,2.58368,4.56783,3.42909,4.56783,3.42617
35,864,3.41125,2.57149,4.57998,3.45276,4.57998,3.44994
36,900,3.42508,2.55834,4.59669,3.37942,4.59669,3.37646
37,936,3.43653,2.54753,4.53879,3.5883,4.53879,3.5898
38,974,3.44046,2.54422,4.52809,3.56953,4.52809,3.68989
39,1011,3.43797,2.54727,4.51673,4.01379,4.51673,4.0125
40,1050,3.4233,2.56249,4.48626,4.09298,4.48739,4.09289
41,1088,3.40805,2.57823,4.4721,4.09982,4.47255,4.10064
42,1127,3.38939,2.59735,4.46378,4.19805,4.46378,4.1962
43,1167,3.37324,2.61397,4.44795,4.12383,4.44795,4.12201
44,1207,3.3558,2.63182,4.43317,4.34434,4.43317,4.34241
45,1247,3.3365,2.65152,4.41933,4.29656,4.41933,4.29473
46,1288,3.31679,2.67161,4.40603,4.41331,4.40603,4.41145
47,1330,3.29738,2.69139,4.39326,4.39355,4.39326,4.39176
48,1372,3.28046,2.70865,4.38126,4.33866,4.38126,4.33696
49,1414,3.26578,2.72365,4.36998,4.34979,4.36998,4.37681
50,1456,3.24594,2.74379,4.35934,4.57603,4.35934,4.57426
51,1499,3.22506,2.76497,4.33444,4.74717,4.33597,4.74668
52,1543,3.20163,2.78868,4.31525,4.69619,4.31525,4.69574
53,1587,3.18105,2.80953,4.31595,4.65556,4.31595,4.65389
54,1631,3.16319,2.82764,4.2989,4.61223,4.30428,4.61186
55,1676,3.14585,2.84523,4.28316,4.61786,4.28316,4.6163
56,1721,3.13032,2.86099,4.27578,4.5971,4.27578,4.5956
57,1766,3.1165,2.87503,4.26877,4.53107,4.26877,4.53134
58,1812,3.1048,2.88694,4.26197,4.47026,4.26197,4.4689
