row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.27778,1.88889,3.33333,3.4,3.5,4.06667
1,11,2.2071,2.02367,3,3,3.07692,4.38462
2,20,2.41529,2.03926,3.13636,2.90476,3.13636,4.16818
3,32,2.36851,2.01384,2.82353,2.45455,3.02941,3.50882
4,44,2.38422,2.00709,2.78261,2.33333,2.90217,3.88261
5,58,2.41139,2.02194,2.76667,2.55932,2.88667,3.68333
6,74,2.40564,2.00225,2.71053,2.10667,2.86842,3.51053
7,90,2.36626,2.00331,2.56522,2.17582,2.72935,3.50109
8,108,2.33793,1.99843,2.59091,2.08257,2.65091,3.53636
9,126,2.35651,1.99506,2.55469,2.19685,2.66562,3.56562
10,145,2.35805,2.0025,2.5034,2.21918,2.66531,3.15238
11,166,2.35831,2.01074,2.48214,2.00599,2.65714,3.44226
12,187,2.34341,2.01638,2.49206,2.28191,2.61429,3.64339
13,209,2.35507,2.01934,2.47867,2.1619,2.65498,3.38199
14,232,2.35355,2.01824,2.5,2.12017,2.6594,3.27607
15,256,2.33643,2.01629,2.45736,2.2607,2.62171,3.46667
16,280,2.31507,2.0218,2.4539,2.21352,2.56986,3.3227
17,305,2.29699,2.02223,2.38111,2.28758,2.53453,3.20065
18,331,2.28053,2.02577,2.38438,2.03614,2.53874,3.33393
19,357,2.27042,2.02763,2.36212,2.24302,2.50446,3.3429
20,384,2.25191,2.03047,2.32642,2.11948,2.4513,3.25699
21,412,2.24487,2.03049,2.33092,2.16949,2.43816,3.32681
22,441,2.23195,2.03216,2.29797,2.07919,2.41309,3.36163
23,470,2.21572,2.03428,2.28602,2.27176,2.41631,3.47097
24,500,2.205,2.03604,2.29482,2.29142,2.38884,3.56932
25,530,2.19532,2.03588,2.25,2.02825,2.37068,3.31654
26,561,2.17921,2.03749,2.2238,2.05516,2.34334,3.42131
27,592,2.17385,2.03658,2.23064,2.07757,2.33468,3.40034
28,624,2.16649,2.03798,2.22684,2.1136,2.33674,3.34473
29,657,2.16362,2.0382,2.21244,2.1079,2.3214,3.39742
30,690,2.15472,2.03748,2.20231,2.03907,2.31286,3.28353
31,724,2.14495,2.03962,2.20523,2.08828,2.28912,3.1843
32,758,2.1401,2.04016,2.18553,2,2.26526,3.27724
33,793,2.13992,2.03995,2.19245,2.0806,2.25245,3.40956
34,828,2.13255,2.04095,2.1747,2.08685,2.2641,3.3006
35,864,2.13104,2.04102,2.19053,2.07399,2.27448,3.2157
36,900,2.1361,2.04018,2.22727,2.04107,2.28016,3.2235
37,936,2.13562,2.04029,2.1951,2.04269,2.25906,3.32996
38,974,2.12679,2.04022,2.16906,2.01949,2.24959,3.38514
39,1011,2.1254,2.04044,2.17769,2.02964,2.23939,3.38065
40,1050,2.12462,2.04078,2.17395,2.15509,2.24838,3.40504
41,1088,2.1255,2.04147,2.17798,2.13131,2.2656,3.31569
42,1127,2.12709,2.0412,2.17538,2.08865,2.26678,3.53029
43,1167,2.12942,2.04081,2.20445,2.04281,2.26835,3.39949
44,1207,2.12498,2.04127,2.15219,2.1043,2.25914,3.28106
45,1247,2.11951,2.04142,2.15052,2.03045,2.24107,3.34684
46,1288,2.11691,2.04278,2.14496,2.03258,2.22504,3.49744
47,1330,2.12317,2.04275,2.17267,2.14275,2.22703,3.38116
48,1372,2.12315,2.04206,2.18923,2.09905,2.23865,3.43821
49,1414,2.12273,2.04182,2.15607,2.11237,2.23806,3.10184
50,1456,2.11898,2.0422,2.15501,2.06795,2.25857,3.44239
51,1499,2.11981,2.04208,2.16855,2.06267,2.25843,3.51252
52,1543,2.12131,2.04245,2.16181,2.05117,2.26362,3.18945
53,1587,2.12007,2.0423,2.13531,2.1505,2.27596,3.21901
54,1631,2.11914,2.04252,2.15922,2.02328,2.27024,3.41231
55,1676,2.11537,2.04196,2.15256,2.09779,2.26812,3.26615
56,1721,2.12176,2.0419,2.15322,2.04123,2.26854,3.51846
57,1766,2.1219,2.04156,2.15667,2.01019,2.26821,3.20051
58,1812,2.12053,2.04099,2.15877,2,2.27029,3.23071
59,1859,2.11602,2.04088,2.12305,2.01667,2.26851,3.36728
60,1905,2.11816,2.04073,2.12113,2.02308,2.26607,3.19082
61,1952,2.11684,2.04079,2.17554,2.02355,2.25983,3.4979
62,2000,2.115,2.04085,2.13786,2.08246,2.25584,3.33961
63,2048,2.1137,2.04142,2.13171,2.00781,2.25127,3.27946
64,2096,2.11613,2.04164,2.12869,2.09251,2.25462,3.39814
65,2144,2.11664,2.04179,2.16356,2.10723,2.25396,3.32749
66,2193,2.11721,2.04224,2.13576,2.23974,2.25376,3.28592
67,2242,2.11229,2.04279,2.15152,2.04458,2.24866,3.49648
68,2292,2.11169,2.04307,2.12598,2.08853,2.24285,3.36417
69,2342,2.10762,2.04383,2.11689,2.10329,2.24296,3.38323
70,2393,2.10425,2.04397,2.11649,2.0259,2.2382,3.50175
71,2443,2.10305,2.04378,2.1272,2.00368,2.23845,3.43661
72,2494,2.10101,2.04442,2.15264,2.02124,2.23666,3.25232
73,2546,2.09778,2.04468,2.13619,2.01139,2.22582,3.37896
74,2598,2.09981,2.0448,2.11962,2.02539,2.21938,3.25385
75,2650,2.09301,2.045,2.12066,2.00528,2.20965,3.3175
76,2702,2.09228,2.04492,2.11095,2.05845,2.21561,3.35851
77,2755,2.09234,2.04476,2.10301,2.0254,2.21629,3.29449
