row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.91667,4.91667,5,7.6,5,7.05
1,11,3.22485,5.00592,5,7.25,5.07692,7.08462
2,20,3.05992,5.07645,4.68182,7.19048,4.68182,7.09091
3,32,3.24567,5.04844,4.73529,7.33333,4.76471,7.25588
4,44,3.04584,5.17155,4.78261,6.77778,5.02174,6.69783
5,58,3.08222,5.18444,4.73333,7.28814,4.74333,7.21667
6,74,3.15357,5.22801,4.96053,7.14667,4.96053,7.09211
7,90,3.08566,5.22956,4.96739,6.86813,4.96739,6.84348
8,108,3.04587,5.21777,4.87273,6.98165,4.87273,6.96
9,126,3.02216,5.20441,4.83594,6.85827,4.85859,6.83203
10,145,3.00435,5.19293,4.55102,6.86986,4.55102,6.84354
11,166,2.9555,5.22902,4.33929,7.52096,4.36726,7.49405
12,187,2.99205,5.28308,4.58201,7.03191,4.58201,7.01058
13,209,3.0752,5.27551,4.72986,6.67143,4.72986,6.68863
14,232,2.99123,5.28227,4.51709,7.01717,4.52222,6.99744
15,256,2.93621,5.27309,4.50775,6.72374,4.50775,6.72481
16,280,2.83899,5.26739,4.2695,6.66192,4.2695,6.68121
17,305,2.80839,5.28281,4.12378,6.78431,4.1316,6.77883
18,331,2.80357,5.28051,4.22222,6.5,4.22222,6.48979
19,357,2.85742,5.26793,4.30084,6.49162,4.30084,6.48189
20,384,2.90982,5.24562,4.35233,6.34026,4.36969,6.35052
21,412,2.86539,5.26505,4.51932,7.13317,4.51932,7.12077
22,441,2.82339,5.29851,4.40181,7.52715,4.42032,7.52709
23,470,2.79772,5.31669,4.67373,7.23779,4.67373,7.22669
24,500,2.81977,5.31171,4.77689,7.13174,4.77689,7.1261
25,530,2.88367,5.29678,4.90226,6.92844,4.90226,6.92613
26,561,2.95603,5.26955,5.01776,6.74555,5.01776,6.73854
27,592,3.00372,5.2387,4.98485,7.16189,4.98485,7.1633
28,624,3.03821,5.24294,4.84824,7.1904,4.85032,7.1869
29,657,3.06683,5.25032,4.88619,7.24012,4.88923,7.23687
30,690,3.09333,5.25638,4.88295,7.13893,4.88295,7.13584
31,724,3.12034,5.25983,4.8416,7.03862,4.8416,7.03581
32,758,3.14181,5.26608,4.74079,7.15942,4.74079,7.15921
33,793,3.16681,5.28225,4.64654,7.18388,4.64692,7.18742
34,828,3.20453,5.30992,4.62651,7.4801,4.62651,7.47831
35,864,3.23536,5.34086,4.60046,7.4185,4.60046,7.41709
36,900,3.26546,5.36757,4.67849,7.3141,4.67882,7.30931
37,936,3.30198,5.38352,4.77292,7.14835,4.77292,7.14392
38,974,3.34174,5.39084,4.85553,7.04615,4.85758,7.04693
39,1011,3.30857,5.39726,4.7542,7.0415,4.7542,7.04047
40,1050,3.27273,5.40693,4.68156,7.08754,4.6826,7.08622
41,1088,3.24152,5.41444,4.67248,6.99725,4.67248,6.9945
42,1127,3.21656,5.41674,4.76351,6.89273,4.76519,6.88928
43,1167,3.18471,5.42693,4.70402,7.32449,4.70402,7.32335
44,1207,3.14009,5.45131,4.61952,7.81705,4.61952,7.81472
45,1247,3.09423,5.47823,4.58046,7.72596,4.58046,7.72474
46,1288,3.0528,5.50146,4.53721,7.6571,4.53721,7.65543
47,1330,3.01629,5.5205,4.53153,7.59128,4.53161,7.59009
48,1372,2.98232,5.53806,4.50873,7.6169,4.50873,7.6182
49,1414,2.95009,5.55485,4.45975,7.64311,4.45975,7.66525
50,1456,2.91868,5.57172,4.47599,7.6836,4.47668,7.68114
51,1499,2.89072,5.58563,4.47302,7.57867,4.47302,7.57635
52,1543,2.86718,5.5956,4.46926,7.48187,4.46926,7.47948
53,1587,2.84405,5.60592,4.37697,7.60076,4.37697,7.60101
54,1631,2.82009,5.61775,4.37538,7.60478,4.37655,7.60649
55,1676,2.79878,5.62732,4.44041,7.50984,4.45066,7.50775
56,1721,2.78228,5.63269,4.42542,7.51626,4.42652,7.51376
57,1766,2.76614,5.63827,4.42081,7.48783,4.42081,7.48852
58,1812,2.75255,5.64161,4.43881,7.39272,4.43942,7.3903
59,1859,2.74274,5.64146,4.45459,7.28333,4.45459,7.28259
60,1905,2.7367,5.63823,4.46827,7.18048,4.46827,7.18553
61,1952,2.73354,5.63238,4.48106,7.08909,4.48106,7.09273
62,2000,2.73598,5.62565,4.47153,7.31434,4.47153,7.39965
63,2048,2.74807,5.62851,4.36683,7.44949,4.36683,7.45132
64,2096,2.7561,5.63475,4.28027,7.48736,4.28027,7.48818
65,2144,2.76128,5.64319,4.22088,7.49697,4.22144,7.50326
