row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.833333,1.66667,1.66667,3,1.66667,2.66667
1,11,1.10651,1.66272,1.84615,2.25,1.84615,2.26154
2,20,1.25826,1.60537,1.90909,2.09524,1.90909,2.21818
3,32,1.30536,1.6064,1.94118,2.36364,1.94118,2.32353
4,44,1.32845,1.60633,1.95652,2.28889,1.95652,2.26087
5,58,1.27694,1.67306,1.78333,2.50847,1.78333,2.51167
6,74,1.19183,1.7687,1.61842,2.61333,1.61842,2.60526
7,90,1.13221,1.83518,1.51087,2.51648,1.51087,2.51413
8,108,1.08851,1.88421,1.42727,2.47706,1.42727,2.47273
9,126,1.05682,1.91974,1.36719,2.45669,1.36719,2.46172
10,145,1.03263,1.94697,1.39456,2.46575,1.39456,2.46259
11,166,1.01552,1.96662,1.34524,2.43114,1.34524,2.42857
12,187,1.00389,1.98024,1.30688,2.39362,1.30688,2.39153
13,209,0.994834,1.99095,1.27488,2.37143,1.27488,2.36967
14,232,0.987399,1.99978,1.24786,2.33476,1.24786,2.33333
15,256,0.982213,2.00616,1.22481,2.30739,1.22481,2.3062
16,280,0.977843,2.01152,1.20567,2.30961,1.20567,2.30851
17,305,0.973612,2.01662,1.18893,2.28431,1.18893,2.28371
18,331,0.970538,2.02045,1.17417,2.26506,1.17417,2.26426
19,357,0.968599,2.02304,1.16156,2.24581,1.16156,2.24513
20,384,0.967402,2.02483,1.15026,2.22857,1.15026,2.22798
21,412,0.966604,2.02615,1.1401,2.21792,1.1401,2.21739
22,441,0.965844,2.02738,1.13093,2.20814,1.13093,2.2079
23,470,0.965487,2.02816,1.12288,2.19533,1.12288,2.19492
24,500,0.965143,2.02888,1.11554,2.19162,1.11554,2.19124
25,530,0.964915,2.02945,1.10902,2.18267,1.10902,2.18233
26,561,0.964858,2.02981,1.10302,2.1726,1.10302,2.17229
27,592,0.965004,2.02995,1.09764,2.16358,1.09764,2.16347
28,624,0.965249,2.02996,1.09265,2.1568,1.09265,2.15655
29,657,0.965603,2.02984,1.08801,2.14894,1.08801,2.14871
30,690,0.966049,2.02962,1.08382,2.14182,1.08382,2.14162
31,724,0.966574,2.02929,1.07989,2.13517,1.07989,2.13499
32,758,0.967143,2.02891,1.07632,2.12912,1.07632,2.13026
33,793,0.967572,2.02865,1.07296,2.12846,1.07296,2.1283
34,828,0.968014,2.02837,1.06988,2.12304,1.06988,2.12289
35,864,0.968506,2.02803,1.06697,2.11792,1.06697,2.11778
36,900,0.969023,2.02765,1.0643,2.11321,1.0643,2.11308
37,936,0.969555,2.02725,1.06183,2.10886,1.06183,2.10874
38,974,0.970123,2.0268,1.05943,2.10564,1.05943,2.10553
39,1011,0.970644,2.02639,1.05726,2.10178,1.05726,2.10168
40,1050,0.971184,2.02596,1.05513,2.09895,1.05513,2.09886
41,1088,0.971687,2.02556,1.05321,2.0955,1.05321,2.09541
42,1127,0.972202,2.02514,1.05137,2.0922,1.05137,2.09212
43,1167,0.972725,2.02471,1.04962,2.08904,1.04962,2.08896
44,1207,0.973241,2.02428,1.04797,2.08609,1.04797,2.08602
45,1247,0.973748,2.02385,1.04644,2.08333,1.04644,2.08335
46,1288,0.974238,2.02344,1.04496,2.08146,1.04496,2.0814
47,1330,0.974725,2.02302,1.04354,2.07889,1.04354,2.07883
48,1372,0.975201,2.02262,1.04221,2.07647,1.04221,2.07642
49,1414,0.975666,2.02222,1.04096,2.0742,1.04096,2.07415
50,1456,0.976115,2.02183,1.03978,2.07275,1.03978,2.0727
51,1499,0.976533,2.02147,1.03864,2.07133,1.03864,2.07129
52,1543,0.976947,2.02111,1.03754,2.0693,1.03754,2.06926
53,1587,0.977352,2.02076,1.0365,2.06738,1.0365,2.06734
54,1631,0.977748,2.02042,1.03552,2.06556,1.03552,2.06552
55,1676,0.978142,2.02007,1.03456,2.0638,1.03456,2.06377
56,1721,0.978526,2.01973,1.03366,2.06214,1.03366,2.0621
57,1766,0.9789,2.0194,1.03281,2.06055,1.03281,2.06052
58,1812,0.979272,2.01907,1.03197,2.05902,1.03197,2.05899
59,1859,0.97964,2.01875,1.03117,2.05753,1.03117,2.0575
60,1905,0.97998,2.01845,1.03041,2.05666,1.03041,2.05663
61,1952,0.980311,2.01815,1.02968,2.05581,1.02968,2.05578
62,2000,0.980634,2.01787,1.02897,2.05447,1.02897,2.05445
63,2048,0.980947,2.01759,1.02829,2.0532,1.02829,2.05317
64,2096,0.981253,2.01732,1.02765,2.05198,1.02765,2.05195
65,2144,0.981551,2.01705,1.02703,2.05082,1.02703,2.05079
66,2193,0.981847,2.01679,1.02642,2.04968,1.02642,2.04966
67,2242,0.982134,2.01653,1.02585,2.0486,1.02585,2.04857
68,2292,0.98242,2.01627,1.02528,2.04754,1.02528,2.04752
69,2342,0.982698,2.01602,1.02474,2.04652,1.02474,2.0465
