row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,2.27778,3.22222,3.83333,5.2,3.83333,4.66667
1,11,2.69231,3.07692,4.15385,4.33333,4.15385,4.07692
2,20,3.21281,2.65083,4.5,3.14286,4.5,3.18636
3,32,3.50952,2.40225,4.41176,3.45455,4.41176,3.46176
4,44,3.56711,2.36767,4.54348,3,4.54348,2.96957
5,58,3.51306,2.42028,4.43333,3.66102,4.43333,3.63333
6,74,3.47386,2.47351,4.39474,3.56,4.39474,3.52632
7,90,3.50874,2.44778,4.51087,3.10989,4.51087,3.08804
8,108,3.53992,2.41463,4.42727,3.57798,4.42727,3.56545
9,126,3.49713,2.46381,4.36719,3.6378,4.36719,3.625
10,145,3.47017,2.49581,4.31973,3.88356,4.31973,3.87075
11,166,3.40597,2.56427,4.27976,4.08982,4.27976,4.08393
12,187,3.34336,2.63019,4.24868,4.17021,4.24868,4.15979
13,209,3.27906,2.69724,4.22275,4.47619,4.22275,4.46967
14,232,3.2111,2.76753,4.20085,4.28755,4.20085,4.27778
15,256,3.16872,2.8119,4.15891,4.30739,4.17054,4.29457
16,280,3.14242,2.83985,4.2234,4.07473,4.2234,4.0734
17,305,3.13053,2.85319,4.20195,4.07843,4.20195,4.08502
18,331,3.12869,2.8563,4.27628,3.9006,4.27928,3.89189
19,357,3.14593,2.84014,4.33148,3.73184,4.33148,3.72423
20,384,3.17343,2.81361,4.35233,3.62338,4.35233,3.61684
21,412,3.19593,2.792,4.39614,3.61743,4.39614,3.61111
22,441,3.22771,2.761,4.43567,3.4457,4.43567,3.44018
23,470,3.26554,2.72386,4.47034,3.29512,4.47034,3.29025
24,500,3.30821,2.68183,4.50199,3.15768,4.50199,3.15339
25,530,3.35255,2.63806,4.53008,3.03578,4.53008,3.03195
26,561,3.39809,2.59303,4.52931,2.9484,4.52931,3.05737
27,592,3.41579,2.57075,4.48822,3.38617,4.48822,3.38384
28,624,3.42555,2.56167,4.47923,3.4896,4.47923,3.48594
29,657,3.43596,2.5519,4.50683,3.37386,4.50683,3.37026
30,690,3.4504,2.53804,4.48555,3.3097,4.48555,3.30925
31,724,3.46286,2.52612,4.46281,3.26897,4.47245,3.26722
32,758,3.47575,2.51372,4.45263,3.21212,4.45263,3.21053
33,793,3.489,2.50094,4.4327,3.15869,4.43396,3.15723
34,828,3.50198,2.48838,4.41687,3.10977,4.41687,3.10843
35,864,3.51322,2.47754,4.42032,3.15838,4.42032,3.15543
36,900,3.52382,2.46731,4.48559,3.10988,4.48559,3.11197
37,936,3.53905,2.45243,4.54158,3.02241,4.54158,3.01919
38,974,3.54935,2.44246,4.56148,3.19795,4.56148,3.19611
39,1011,3.55968,2.43242,4.56762,3.27668,4.56851,3.27591
40,1050,3.56659,2.42581,4.59316,3.28735,4.59316,3.28593
41,1088,3.56976,2.4229,4.61468,3.38567,4.61468,3.38459
42,1127,3.57664,2.41628,4.70859,3.28191,4.70859,3.2783
43,1167,3.58814,2.40502,4.75278,3.18664,4.75278,3.18392
44,1207,3.60204,2.39134,4.75682,3.22434,4.75682,3.24334
45,1247,3.60983,2.38377,4.68615,3.26362,4.68615,3.26261
46,1288,3.61563,2.37817,4.66434,3.27541,4.66434,3.27442
47,1330,3.62028,2.37371,4.64339,3.26296,4.64339,3.26119
48,1372,3.62455,2.36963,4.62373,3.23598,4.62373,3.23508
49,1414,3.62886,2.36549,4.60523,3.20283,4.60523,3.20198
50,1456,3.63324,2.36128,4.58779,3.16815,4.58779,3.16735
51,1499,3.63782,2.35685,4.57095,3.13467,4.57095,3.13391
52,1543,3.64258,2.35224,4.55469,3.10298,4.55469,3.10227
53,1587,3.64736,2.34761,4.53933,3.07242,4.53933,3.07174
54,1631,3.65177,2.34333,4.5101,3.11949,4.5101,3.12841
55,1676,3.65047,2.34476,4.45828,3.3059,4.45828,3.31079
56,1721,3.64588,2.34948,4.48346,3.32753,4.48346,3.32618
57,1766,3.64356,2.35192,4.52489,3.26825,4.52574,3.26697
58,1812,3.64409,2.3515,4.55954,3.2107,4.55954,3.20948
59,1859,3.64647,2.34923,4.57066,3.15538,4.57066,3.15502
60,1905,3.65017,2.34564,4.58102,3.10336,4.58102,3.10225
61,1952,3.64905,2.34532,4.55374,3.34613,4.55578,3.34672
62,2000,3.647,2.3475,4.55794,3.33733,4.55794,3.33561
63,2048,3.64546,2.34918,4.54488,3.31332,4.54488,3.31268
64,2096,3.63835,2.35545,4.53146,3.56795,4.53146,3.56745
65,2144,3.63134,2.3626,4.51957,3.62331,4.51957,3.62255
66,2193,3.62322,2.37086,4.50888,3.61258,4.50888,3.61189
67,2242,3.61525,2.37896,4.49777,3.62193,4.49777,3.62923
68,2292,3.60766,2.38667,4.48692,3.59791,4.48692,3.59725
69,2342,3.60101,2.39344,4.47654,3.57064,4.47654,3.56997
70,2393,3.59502,2.39955,4.46639,3.53926,4.46639,3.53829
71,2443,3.58986,2.40482,4.45603,3.60352,4.45603,3.60368
72,2494,3.58102,2.41377,4.42348,3.80441,4.42348,3.80777
73,2546,3.5663,2.42859,4.39089,4.04868,4.39089,4.04867
74,2598,3.54956,2.44544,4.34385,4.15737,4.3455,4.15715
75,2650,3.53201,2.46309,4.34012,4.13316,4.34012,4.13348
76,2702,3.516,2.47919,4.33358,4.09434,4.33358,4.09357
77,2755,3.50125,2.49403,4.32717,4.05406,4.32717,4.05332
