row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.833333,0.166667,1,0.2,1,0.166667
1,11,0.923077,0.0769231,1,0.0833333,1,0.0769231
2,20,0.954545,0.0454545,1,0.047619,1,0.0454545
3,32,0.970588,0.0294118,1,0.030303,1,0.0294118
4,44,0.975425,0.0245747,1,0.0444444,1,0.0434783
5,58,0.977778,0.0222222,1,0.0338983,1,0.0333333
6,74,0.98009,0.01991,1,0.04,1,0.802632
7,90,0.876181,0.123819,1,0.681319,1,0.673913
8,108,0.821157,0.178843,1,0.568807,1,0.563636
9,126,0.799805,0.200195,1,0.488189,1,0.484375
10,145,0.793697,0.206303,1,0.424658,1,0.421769
11,166,0.795918,0.204082,1,0.371257,1,0.369048
12,187,0.802301,0.197699,1,0.329787,1,0.402116
13,209,0.810741,0.189259,1,0.295238,1,0.417062
14,232,0.820075,0.179925,1,0.266094,1,0.264957
15,256,0.829638,0.170362,1,0.241245,1,0.24031
16,280,0.83869,0.16131,1,0.220641,1,0.219858
17,305,0.847447,0.152553,1,0.202614,1,0.201954
18,331,0.855802,0.144198,1,0.186747,1,0.186186
19,357,0.863424,0.136576,1,0.173184,1,0.172702
20,384,0.870627,0.129373,1,0.161039,1,0.160622
21,412,0.877407,0.122593,1,0.150121,1,0.466184
22,441,0.869431,0.130569,1,0.443439,1,0.442438
23,470,0.859469,0.140531,1,0.416136,1,0.415254
24,500,0.852431,0.147569,1,0.391218,1,0.390438
25,530,0.847829,0.152171,1,0.369115,1,0.368421
26,561,0.844956,0.155044,1,0.348754,1,0.348135
27,592,0.843497,0.156503,1,0.330523,1,0.329966
28,624,0.843083,0.156917,1,0.3136,1,0.313099
29,657,0.843511,0.156489,1,0.297872,1,0.29742
30,690,0.844574,0.155426,1,0.283647,1,0.283237
31,724,0.846147,0.153853,1,0.270345,1,0.269972
32,758,0.848068,0.151932,1,0.258235,1,0.257895
33,793,0.850297,0.149703,1,0.246851,1,0.246541
34,828,0.852699,0.147301,1,0.236429,1,0.236145
35,864,0.855282,0.144718,1,0.22659,1,0.226328
36,900,0.857931,0.142069,1,0.217536,1,0.217295
37,936,0.860607,0.139393,1,0.209178,1,0.208955
38,974,0.863431,0.136569,1,0.201026,1,0.20082
39,1011,0.866158,0.133842,1,0.193676,1,0.193485
40,1050,0.868963,0.131037,1,0.187441,1,0.187262
41,1088,0.87164,0.12836,1,0.1809,1,0.180734
42,1127,0.874327,0.125673,1,0.174645,1,0.174491
43,1167,0.877014,0.122986,1,0.168664,1,0.16852
44,1207,0.879626,0.120374,1,0.163079,1,0.162945
45,1247,0.882162,0.117838,1,0.157853,1,0.157726
46,1288,0.884679,0.115321,1,0.152832,1,0.152713
47,1330,0.887174,0.112826,1,0.148009,1,0.147898
48,1372,0.889583,0.110417,1,0.143481,1,0.143377
49,1414,0.89191,0.10809,1,0.139223,1,0.139124
50,1456,0.894137,0.105863,1,0.135896,1,0.135802
51,1499,0.896336,0.103664,1,0.132,1,0.131912
52,1543,0.898507,0.101493,1,0.128238,1,0.128155
53,1587,0.9006,0.0994003,1,0.124685,1,0.124607
54,1631,0.902617,0.0973829,1,0.121324,1,0.121249
55,1676,0.904606,0.0953942,1,0.118068,1,0.117998
56,1721,0.906522,0.0934777,1,0.114983,1,0.119559
57,1766,0.908277,0.0917227,1,0.11828,1,0.118213
58,1812,0.909949,0.0900515,1,0.115279,1,0.115215
59,1859,0.911603,0.0883967,1,0.112366,1,0.112305
60,1905,0.913173,0.0868272,1,0.109654,1,0.109596
61,1952,0.914727,0.0852732,1,0.107015,1,0.10696
62,2000,0.916264,0.0837362,1,0.104448,1,0.104396
63,2048,0.917752,0.0822479,1,0.102001,1,0.101951
64,2096,0.919193,0.0808067,1,0.0996662,1,0.0996187
65,2144,0.920589,0.0794106,1,0.0974359,1,0.0973905
66,2193,0.92197,0.0780303,1,0.0952598,1,0.0952164
67,2242,0.923306,0.0766935,1,0.0931788,1,0.0931373
68,2292,0.924627,0.0753725,1,0.091147,1,0.0911072
69,2342,0.925907,0.0740932,1,0.0892019,1,0.0891638
70,2393,0.92717,0.0728295,1,0.0873016,1,0.0872651
71,2443,0.928371,0.0716293,1,0.0855155,1,0.0854806
72,2494,0.929557,0.070443,1,0.0837675,1,0.083734
73,2546,0.930722,0.0692776,1,0.0828426,1,0.08281
74,2598,0.931831,0.0681694,1,0.0969604,1,0.0973077
75,2650,0.932615,0.0673855,1,0.0950585,1,0.0950226
76,2702,0.933389,0.0666109,1,0.0932297,1,0.0931953
77,2755,0.934168,0.0658316,1,0.0914369,1,0.0914037
78,2808,0.934935,0.0650645,1,0.0900676,1,0.0900356
79,2862,0.9357,0.0642997,1,0.0883688,1,0.088338
80,2916,0.936454,0.0635464,1,0.0867329,1,0.0867032
81,2970,0.937195,0.0628049,1,0.0851565,1,0.0851279
82,3024,0.937925,0.0620754,1,0.0836364,1,0.0836087
83,3079,0.938655,0.0613448,1,0.0821429,1,0.0821162
84,3134,0.939373,0.0606268,1,0.0807018,1,0.080676
85,3190,0.940091,0.0599087,1,0.0792855,1,0.0792607
86,3245,0.940784,0.0592162,1,0.0779421,1,0.0779181
87,3302,0.941488,0.0585117,1,0.076597,1,0.0765738
88,3358,0.942167,0.0578325,1,0.07532,1,0.0752976
89,3415,0.942846,0.0571543,1,0.0740632,1,0.0740416
90,3472,0.943511,0.056489,1,0.0728477,1,0.0728267
91,3529,0.944163,0.0558366,1,0.0716714,1,0.0716511
92,3587,0.944814,0.0551857,1,0.0705128,1,0.0704932
93,3645,0.945452,0.0545477,1,0.0693911,1,0.0693721
94,3703,0.946078,0.0539222,1,0.0683045,1,0.0682861
95,3762,0.946699,0.053301,1,0.0674993,1,0.0674814
96,3821,0.947306,0.0526939,1,0.0664574,1,0.06644
97,3880,0.947901,0.0520988,1,0.065447,1,0.0654302
98,3940,0.948494,0.0515056,1,0.0644506,1,0.0644343
99,4000,0.949076,0.0509244,1,0.0634841,1,0.0634683
100,4060,0.949645,0.0503547,1,0.0625462,1,0.0625308
101,4120,0.950204,0.0497964,1,0.0616355,1,0.0616206
102,4181,0.95076,0.0492405,1,0.0609756,1,0.060961
103,4242,0.951204,0.0487958,1,0.0709404,1,0.0709237
104,4303,0.951586,0.0484135,1,0.0699349,1,0.0699187
105,4365,0.951973,0.0480272,1,0.0689418,1,0.068926
106,4427,0.952357,0.0476433,1,0.0679765,1,0.0679612
107,4489,0.952738,0.0472622,1,0.0670379,1,0.0670229
108,4551,0.953116,0.046884,1,0.0661248,1,0.0661103
109,4614,0.953497,0.046503,1,0.0652221,1,0.065208
110,4677,0.953875,0.0461253,1,0.0643437,1,0.06433
