row_idx,num_updates,guard_rew,thief_rew,guard_add_response,thief_add_response,guard_report_reward,thief_report_reward
0,4,0.416667,0.416667,0.833333,1,0.833333,0.95
1,11,0.538462,0.384615,0.923077,0.75,0.923077,0.692308
2,20,0.592975,0.36157,0.954545,0.666667,0.954545,0.663636
3,32,0.654844,0.315744,0.970588,0.515152,0.970588,0.520588
4,44,0.692817,0.285444,0.978261,0.466667,0.978261,0.469565
5,58,0.71,0.273333,0.983333,0.491525,0.983333,0.483333
6,74,0.735803,0.251039,0.986842,0.4,0.986842,0.394737
7,90,0.759688,0.229442,0.98913,0.351648,0.98913,0.356522
8,108,0.777769,0.21314,0.990909,0.330275,0.990909,0.327273
9,126,0.79364,0.198547,0.992188,0.307087,0.992188,0.304688
10,145,0.808367,0.18483,0.993197,0.267123,0.993197,0.265306
11,166,0.823519,0.170529,0.994048,0.233533,0.994048,0.232143
12,187,0.837043,0.157666,0.994709,0.207447,0.994709,0.206349
13,209,0.848813,0.146448,0.995261,0.195238,0.995261,0.194313
14,232,0.859431,0.136296,0.995726,0.175966,0.995726,0.175214
15,256,0.868728,0.127396,0.996124,0.171206,0.996124,0.170543
16,280,0.876478,0.119976,0.996454,0.160142,0.996454,0.159574
17,305,0.883267,0.113476,0.996743,0.153595,0.996743,0.156352
18,331,0.889295,0.107702,0.996997,0.144578,0.996997,0.144144
19,357,0.894585,0.10263,0.997214,0.139665,0.997214,0.139276
20,384,0.899574,0.0978348,0.997409,0.12987,0.997409,0.129534
21,412,0.904274,0.0933102,0.997585,0.123487,0.997585,0.123188
22,441,0.908713,0.0890298,0.997743,0.115385,0.997743,0.115124
23,470,0.91279,0.0850914,0.997881,0.110403,0.997881,0.110169
24,500,0.916593,0.0814154,0.998008,0.103792,0.998008,0.103586
25,530,0.920024,0.0780959,0.99812,0.0998117,0.99812,0.0996241
26,561,0.923216,0.0750073,0.998224,0.0960854,0.998224,0.0959147
27,592,0.92619,0.072127,0.998316,0.0910624,0.998316,0.0915825
28,624,0.928972,0.0694301,0.998403,0.088,0.998403,0.0878594
29,657,0.931643,0.0668392,0.998483,0.0851064,0.998483,0.0849772
30,690,0.934079,0.0644755,0.998555,0.081042,0.998555,0.0809249
31,724,0.936379,0.0622434,0.998623,0.08,0.998623,0.0798898
32,758,0.938423,0.0602614,0.998684,0.0777339,0.998684,0.0776316
33,793,0.940363,0.058379,0.998742,0.0755668,0.998742,0.0754717
34,828,0.94218,0.0566149,0.998795,0.0735826,0.998795,0.073494
35,864,0.943878,0.0549672,0.998845,0.0728324,0.998845,0.0727483
36,900,0.945432,0.0534597,0.998891,0.0710322,0.998891,0.0709534
37,936,0.94688,0.0520535,0.998934,0.0683031,0.998934,0.0682303
38,974,0.948343,0.0506322,0.998975,0.065641,0.998975,0.0655738
39,1011,0.949704,0.0493086,0.999013,0.0632411,0.999013,0.0631787
40,1050,0.95103,0.0480192,0.999049,0.0627973,0.999049,0.0627376
41,1088,0.952242,0.0468403,0.999083,0.0606061,0.999083,0.0605505
42,1127,0.953337,0.0457768,0.999114,0.0638298,0.999114,0.0637733
43,1167,0.954339,0.0448052,0.999145,0.0616438,0.999145,0.0615911
44,1207,0.955294,0.0438789,0.999173,0.0604305,0.999173,0.0603805
45,1247,0.956213,0.0429859,0.999199,0.0592949,0.999199,0.0592474
46,1288,0.957105,0.0421195,0.999225,0.0574088,0.999225,0.0573643
47,1330,0.957986,0.0412637,0.999249,0.0563486,0.999249,0.0563063
48,1372,0.958824,0.0404481,0.999272,0.0546249,0.999272,0.0545852
49,1414,0.959639,0.0396553,0.999294,0.0530035,0.999294,0.0529661
50,1456,0.960418,0.0388961,0.999314,0.052162,0.999314,0.0521262
51,1499,0.961175,0.0381589,0.999334,0.0513333,0.999334,0.0512991
52,1543,0.961917,0.0374357,0.999353,0.0498705,0.999353,0.0498382
53,1587,0.962631,0.0367398,0.999371,0.0491184,0.999371,0.0490875
54,1631,0.963314,0.0360736,0.999388,0.0477941,0.999388,0.0477648
55,1676,0.963993,0.0354113,0.999404,0.0465116,0.999404,0.0464839
56,1721,0.964652,0.0347681,0.99942,0.0452962,0.99942,0.0452699
57,1766,0.965287,0.0341475,0.999434,0.0447085,0.999434,0.0446833
58,1812,0.965858,0.0335906,0.999449,0.0457805,0.999449,0.0457552
59,1859,0.966421,0.0330417,0.999463,0.0446237,0.999463,0.0445997
60,1905,0.966949,0.0325266,0.999476,0.0440714,0.999476,0.0440482
61,1952,0.967473,0.0320147,0.999488,0.0430108,0.999488,0.0429887
62,2000,0.967997,0.031504,0.9995,0.041979,0.9995,0.041958
63,2048,0.968507,0.0310054,0.999512,0.0409956,0.999512,0.0409756
64,2096,0.969004,0.0305189,0.999523,0.0400572,0.999523,0.0400381
65,2144,0.96949,0.0300444,0.999534,0.0391608,0.999534,0.0391426
66,2193,0.96997,0.0295748,0.999544,0.0391978,0.999544,0.03918
67,2242,0.970352,0.0292021,0.999554,0.0383415,0.999554,0.0637255
68,2292,0.970262,0.0293016,0.999564,0.0623637,0.999564,0.0623365
69,2342,0.970207,0.0293662,0.999573,0.0610329,0.999573,0.0610068
